word	language	last_used_at
gaan	Afrikaans	2026-08-03T20:29:30+09:00
shko	Albanian	never
اذهب	Arabic	never
գնա	Armenian	never
get	Azerbaijani	never
যাও	Bengali	never
върви	Bulgarian	never
ves	Catalan	never
kreni	Croatian	2026-08-03T20:29:30+09:00
jdi	Czech	never
ga	Dutch	never
mine	Estonian	never
mene	Finnish	never
va	French	never
წადი	Georgian	never
geh	German	never
πήγαινε	Greek	never
જાઓ	Gujarati	never
לך	Hebrew	never
जाओ	Hindi	never
menj	Hungarian	never
farðu	Icelandic	never
pergi	Indonesian	never
téigh	Irish	never
vai	Italian	never
行け	Japanese	never
бар	Kazakh	never
가	Korean	never
ej	Latvian	never
eik	Lithuanian	never
оди	Macedonian	never
haere	Māori	never
яв	Mongolian	never
برو	Persian	never
idź	Polish	never
vá	Portuguese	never
mergi	Romanian	never
иди	Russian	never
choď	Slovak	never
pojdi	Slovenian	never
tag	Somali	never
ve	Spanish	never
nenda	Swahili	never
gå	Swedish	never
ไป	Thai	never
git	Turkish	never
іди	Ukrainian	never
جاؤ	Urdu	never
đi	Vietnamese	never
dos	Welsh	never
hamba	Zulu	never
iru	Esperanto	never
ale	Haitian Creole	never
ទៅ	Khmer	never
ໄປ	Lao	never
走	Mandarin Chinese	never
enda	Shona	never
genda	Kinyarwanda	never
tsamaea	Sesotho	never
tsamaya	Setswana	never
mandehana	Malagasy	never
demedi	Ronosathwasha	never
